"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2016","Suffolk","E10000029","Median","Value",27169,"Normal Value"
"2016","Camden","E09000007","Median","Value",39810,"Normal Value"
"2016","City of London","E09000001","Median","Value",,"These figures are suppressed as statistically unreliable"
"2016","Hackney","E09000012","Median","Value",32211,"Normal Value"
"2016","Hammersmith and Fulham","E09000013","Median","Value",38009,"Normal Value"
"2016","Haringey","E09000014","Median","Value",30754,"Normal Value"
"2016","Islington","E09000019","Median","Value",36635,"Normal Value"
"2016","Kensington and Chelsea","E09000020","Median","Value",,"These figures are suppressed as statistically unreliable"
"2016","Lambeth","E09000022","Median","Value",33315,"Normal Value"
"2016","Lewisham","E09000023","Median","Value",33080,"Normal Value"
"2016","Newham","E09000025","Median","Value",27773,"Normal Value"
"2016","Southwark","E09000028","Median","Value",33975,"Normal Value"
"2016","Tower Hamlets","E09000030","Median","Value",36089,"Normal Value"
"2016","Wandsworth","E09000032","Median","Value",41325,"Normal Value"
"2016","Westminster","E09000033","Median","Value",41729,"Normal Value"
"2016","Barking and Dagenham","E09000002","Median","Value",28012,"Normal Value"
"2016","Barnet","E09000003","Median","Value",33443,"Normal Value"
"2016","Bexley","E09000004","Median","Value",34109,"Normal Value"
"2016","Brent","E09000005","Median","Value",29589,"Normal Value"
"2016","Bromley","E09000006","Median","Value",37657,"Normal Value"
"2016","Croydon","E09000008","Median","Value",32523,"Normal Value"
"2016","Ealing","E09000009","Median","Value",31237,"Normal Value"
"2016","Enfield","E09000010","Median","Value",30843,"Normal Value"
"2016","Greenwich","E09000011","Median","Value",32433,"Normal Value"
"2016","Harrow","E09000015","Median","Value",33400,"Normal Value"
"2016","Havering","E09000016","Median","Value",33234,"Normal Value"
"2016","Hillingdon","E09000017","Median","Value",33500,"Normal Value"
"2016","Hounslow","E09000018","Median","Value",30901,"Normal Value"
"2016","Kingston upon Thames","E09000021","Median","Value",38034,"Normal Value"
"2016","Merton","E09000024","Median","Value",34011,"Normal Value"
"2016","Redbridge","E09000026","Median","Value",33742,"Normal Value"
"2016","Richmond upon Thames","E09000027","Median","Value",42068,"Normal Value"
"2016","Sutton","E09000029","Median","Value",32723,"Normal Value"
"2016","Waltham Forest","E09000031","Median","Value",30746,"Normal Value"
"2016","Bracknell Forest","E06000036","Median","Value",30968,"Normal Value"
"2016","Brighton and Hove","E06000043","Median","Value",30348,"Normal Value"
"2016","Isle of Wight","E06000046","Median","Value",25278,"Normal Value"
"2016","Medway","E06000035","Median","Value",29244,"Normal Value"
"2016","Milton Keynes","E06000042","Median","Value",29118,"Normal Value"
"2016","Portsmouth","E06000044","Median","Value",25861,"Normal Value"
"2016","Reading","E06000038","Median","Value",31237,"Normal Value"
"2016","Slough","E06000039","Median","Value",28276,"Normal Value"
"2016","Southampton","E06000045","Median","Value",26448,"Normal Value"
"2016","West Berkshire","E06000037","Median","Value",33537,"Normal Value"
"2016","Windsor and Maidenhead","E06000040","Median","Value",37818,"Normal Value"
"2016","Wokingham","E06000041","Median","Value",,"These figures are suppressed as statistically unreliable"
"2016","Buckinghamshire","E10000002","Median","Value",32663,"Normal Value"
"2016","East Sussex","E10000011","Median","Value",27283,"Normal Value"
"2016","Hampshire","E10000014","Median","Value",30734,"Normal Value"
"2016","Kent","E10000016","Median","Value",29100,"Normal Value"
"2016","Oxfordshire","E10000025","Median","Value",32121,"Normal Value"
"2016","Surrey","E10000030","Median","Value",35023,"Normal Value"
"2016","West Sussex","E10000032","Median","Value",29798,"Normal Value"
"2016","Bath and North East Somerset","E06000022","Median","Value",29888,"Normal Value"
"2016","Bournemouth","E06000028","Median","Value",26892,"Normal Value"
"2016","Bristol, City of","E06000023","Median","Value",27378,"Normal Value"
"2016","Cornwall","E06000052","Median","Value",24574,"Normal Value"
