"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"May 2017","Central Bedfordshire","E06000056","Value","total","Total",5910,"Normal Value"
"May 2017","Luton","E06000032","Value","total","Total",7310,"Normal Value"
"May 2017","Peterborough","E06000031","Value","total","Total",8390,"Normal Value"
"May 2017","Southend-on-Sea","E06000033","Value","total","Total",7150,"Normal Value"
"May 2017","Thurrock","E06000034","Value","total","Total",4750,"Normal Value"
"May 2017","Cambridgeshire","E10000003","Value","total","Total",16330,"Normal Value"
"May 2017","Essex","E10000012","Value","total","Total",40030,"Normal Value"
"May 2017","Hertfordshire","E10000015","Value","total","Total",27050,"Normal Value"
"May 2017","Norfolk","E10000020","Value","total","Total",30860,"Normal Value"
"May 2017","Suffolk","E10000029","Value","total","Total",21220,"Normal Value"
"May 2017","Camden","E09000007","Value","total","Total",9730,"Normal Value"
"May 2017","City of London","E09000001","Value","total","Total",140,"Normal Value"
"May 2017","Hackney","E09000012","Value","total","Total",12560,"Normal Value"
"May 2017","Hammersmith and Fulham","E09000013","Value","total","Total",5930,"Normal Value"
"May 2017","Haringey","E09000014","Value","total","Total",10820,"Normal Value"
"May 2017","Islington","E09000019","Value","total","Total",11550,"Normal Value"
"May 2017","Kensington and Chelsea","E09000020","Value","total","Total",5180,"Normal Value"
"May 2017","Lambeth","E09000022","Value","total","Total",11820,"Normal Value"
"May 2017","Lewisham","E09000023","Value","total","Total",11420,"Normal Value"
"May 2017","Newham","E09000025","Value","total","Total",11310,"Normal Value"
"May 2017","Southwark","E09000028","Value","total","Total",10390,"Normal Value"
"May 2017","Tower Hamlets","E09000030","Value","total","Total",11040,"Normal Value"
"May 2017","Wandsworth","E09000032","Value","total","Total",8300,"Normal Value"
"May 2017","Westminster","E09000033","Value","total","Total",8990,"Normal Value"
"May 2017","Barking and Dagenham","E09000002","Value","total","Total",7540,"Normal Value"
"May 2017","Barnet","E09000003","Value","total","Total",9870,"Normal Value"
"May 2017","Bexley","E09000004","Value","total","Total",6380,"Normal Value"
"May 2017","Brent","E09000005","Value","total","Total",10560,"Normal Value"
"May 2017","Bromley","E09000006","Value","total","Total",7910,"Normal Value"
"May 2017","Croydon","E09000008","Value","total","Total",9840,"Normal Value"
"May 2017","Ealing","E09000009","Value","total","Total",10460,"Normal Value"
"May 2017","Enfield","E09000010","Value","total","Total",11080,"Normal Value"
"May 2017","Greenwich","E09000011","Value","total","Total",10380,"Normal Value"
"May 2017","Harrow","E09000015","Value","total","Total",5680,"Normal Value"
"May 2017","Havering","E09000016","Value","total","Total",6350,"Normal Value"
"May 2017","Hillingdon","E09000017","Value","total","Total",7530,"Normal Value"
"May 2017","Hounslow","E09000018","Value","total","Total",6010,"Normal Value"
"May 2017","Kingston upon Thames","E09000021","Value","total","Total",3420,"Normal Value"
"May 2017","Merton","E09000024","Value","total","Total",4430,"Normal Value"
"May 2017","Redbridge","E09000026","Value","total","Total",7140,"Normal Value"
"May 2017","Richmond upon Thames","E09000027","Value","total","Total",3500,"Normal Value"
"May 2017","Sutton","E09000029","Value","total","Total",3960,"Normal Value"
"May 2017","Waltham Forest","E09000031","Value","total","Total",8610,"Normal Value"
"May 2017","Bracknell Forest","E06000036","Value","total","Total",2350,"Normal Value"
"May 2017","Brighton and Hove","E06000043","Value","total","Total",12280,"Normal Value"
"May 2017","Isle of Wight","E06000046","Value","total","Total",5740,"Normal Value"
"May 2017","Medway","E06000035","Value","total","Total",9380,"Normal Value"
"May 2017","Milton Keynes","E06000042","Value","total","Total",7510,"Normal Value"
"May 2017","Portsmouth","E06000044","Value","total","Total",7840,"Normal Value"
"May 2017","Reading","E06000038","Value","total","Total",4680,"Normal Value"
"May 2017","Slough","E06000039","Value","total","Total",4120,"Normal Value"
"May 2017","Southampton","E06000045","Value","total","Total",9460,"Normal Value"
"May 2017","West Berkshire","E06000037","Value","total","Total",3010,"Normal Value"
"May 2017","Windsor and Maidenhead","E06000040","Value","total","Total",2320,"Normal Value"
"May 2017","Wokingham","E06000041","Value","total","Total",2110,"Normal Value"
"May 2017","Buckinghamshire","E10000002","Value","total","Total",9570,"Normal Value"
"May 2017","East Sussex","E10000011","Value","total","Total",19260,"Normal Value"
"May 2017","Hampshire","E10000014","Value","total","Total",31500,"Normal Value"
"May 2017","Kent","E10000016","Value","total","Total",45240,"Normal Value"
"May 2017","Oxfordshire","E10000025","Value","total","Total",14140,"Normal Value"
"May 2017","Surrey","E10000030","Value","total","Total",22620,"Normal Value"
"May 2017","West Sussex","E10000032","Value","total","Total",22270,"Normal Value"
"May 2017","Bath and North East Somerset","E06000022","Value","total","Total",3790,"Normal Value"
"May 2017","Bournemouth","E06000028","Value","total","Total",8200,"Normal Value"
