"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Peterborough","E06000031","Total jobs","Value",122000,"Normal Value"
"2015","Southend-on-Sea","E06000033","Total jobs","Value",76000,"Normal Value"
"2015","Thurrock","E06000034","Total jobs","Value",72000,"Normal Value"
"2015","Cambridgeshire","E10000003","Total jobs","Value",361000,"Normal Value"
"2015","Essex","E10000012","Total jobs","Value",667000,"Normal Value"
"2015","Hertfordshire","E10000015","Total jobs","Value",670000,"Normal Value"
"2015","Norfolk","E10000020","Total jobs","Value",424000,"Normal Value"
"2015","Suffolk","E10000029","Total jobs","Value",367000,"Normal Value"
"2015","Camden","E09000007","Total jobs","Value",383000,"Normal Value"
"2015","City of London","E09000001","Total jobs","Value",541000,"Normal Value"
"2015","Hackney","E09000012","Total jobs","Value",136000,"Normal Value"
"2015","Hammersmith and Fulham","E09000013","Total jobs","Value",154000,"Normal Value"
"2015","Haringey","E09000014","Total jobs","Value",93000,"Normal Value"
"2015","Islington","E09000019","Total jobs","Value",250000,"Normal Value"
"2015","Kensington and Chelsea","E09000020","Total jobs","Value",150000,"Normal Value"
"2015","Lambeth","E09000022","Total jobs","Value",185000,"Normal Value"
"2015","Lewisham","E09000023","Total jobs","Value",83000,"Normal Value"
"2015","Newham","E09000025","Total jobs","Value",114000,"Normal Value"
"2015","Southwark","E09000028","Total jobs","Value",289000,"Normal Value"
"2015","Tower Hamlets","E09000030","Total jobs","Value",298000,"Normal Value"
"2015","Wandsworth","E09000032","Total jobs","Value",144000,"Normal Value"
"2015","Westminster","E09000033","Total jobs","Value",756000,"Normal Value"
"2015","Barking and Dagenham","E09000002","Total jobs","Value",62000,"Normal Value"
"2015","Barnet","E09000003","Total jobs","Value",168000,"Normal Value"
"2015","Bexley","E09000004","Total jobs","Value",86000,"Normal Value"
"2015","Brent","E09000005","Total jobs","Value",136000,"Normal Value"
"2015","Bromley","E09000006","Total jobs","Value",124000,"Normal Value"
"2015","Croydon","E09000008","Total jobs","Value",144000,"Normal Value"
"2015","Ealing","E09000009","Total jobs","Value",163000,"Normal Value"
"2015","Enfield","E09000010","Total jobs","Value",133000,"Normal Value"
"2015","Greenwich","E09000011","Total jobs","Value",96000,"Normal Value"
"2015","Harrow","E09000015","Total jobs","Value",88000,"Normal Value"
"2015","Havering","E09000016","Total jobs","Value",93000,"Normal Value"
"2015","Hillingdon","E09000017","Total jobs","Value",202000,"Normal Value"
"2015","Hounslow","E09000018","Total jobs","Value",187000,"Normal Value"
"2015","Kingston upon Thames","E09000021","Total jobs","Value",95000,"Normal Value"
"2015","Merton","E09000024","Total jobs","Value",98000,"Normal Value"
"2015","Redbridge","E09000026","Total jobs","Value",92000,"Normal Value"
"2015","Richmond upon Thames","E09000027","Total jobs","Value",102000,"Normal Value"
"2015","Sutton","E09000029","Total jobs","Value",80000,"Normal Value"
"2015","Waltham Forest","E09000031","Total jobs","Value",86000,"Normal Value"
"2015","Bracknell Forest","E06000036","Total jobs","Value",71000,"Normal Value"
"2015","Brighton and Hove","E06000043","Total jobs","Value",166000,"Normal Value"
"2015","Isle of Wight","E06000046","Total jobs","Value",62000,"Normal Value"
"2015","Medway","E06000035","Total jobs","Value",102000,"Normal Value"
"2015","Milton Keynes","E06000042","Total jobs","Value",189000,"Normal Value"
"2015","Portsmouth","E06000044","Total jobs","Value",121000,"Normal Value"
"2015","Reading","E06000038","Total jobs","Value",118000,"Normal Value"
"2015","Slough","E06000039","Total jobs","Value",88000,"Normal Value"
"2015","Southampton","E06000045","Total jobs","Value",135000,"Normal Value"
"2015","West Berkshire","E06000037","Total jobs","Value",107000,"Normal Value"
"2015","Windsor and Maidenhead","E06000040","Total jobs","Value",91000,"Normal Value"
"2015","Wokingham","E06000041","Total jobs","Value",89000,"Normal Value"
"2015","Buckinghamshire","E10000002","Total jobs","Value",272000,"Normal Value"
"2015","East Sussex","E10000011","Total jobs","Value",236000,"Normal Value"
"2015","Hampshire","E10000014","Total jobs","Value",731000,"Normal Value"
"2015","Kent","E10000016","Total jobs","Value",731000,"Normal Value"
"2015","Oxfordshire","E10000025","Total jobs","Value",419000,"Normal Value"
"2015","Surrey","E10000030","Total jobs","Value",666000,"Normal Value"
"2015","West Sussex","E10000032","Total jobs","Value",441000,"Normal Value"
"2015","Bath and North East Somerset","E06000022","Total jobs","Value",102000,"Normal Value"
"2015","Bournemouth","E06000028","Total jobs","Value",95000,"Normal Value"
"2015","Bristol, City of","E06000023","Total jobs","Value",301000,"Normal Value"
"2015","Cornwall","E06000052","Total jobs","Value",266000,"Normal Value"
"2015","Isles of Scilly","E06000053","Total jobs","Value",3000,"Normal Value"
"2015","North Somerset","E06000024","Total jobs","Value",94000,"Normal Value"
"2015","Plymouth","E06000026","Total jobs","Value",135000,"Normal Value"
"2015","Poole","E06000029","Total jobs","Value",89000,"Normal Value"
