ZoneSystem,ZoneID,Forecast,Year,Jobs,TotalPopn,HH,PopWorkAge,PopPensionAge,EcActive,In_GLA
Railplan,"5,539",GLA,"2,011","1,834","3,214","1,107","1,955","1,297","1,955",TRUE
Railplan,"5,540",GLA,"2,011",743,"3,259","1,094","1,989","1,287","1,989",TRUE
Railplan,"5,541",GLA,"2,011",179,"1,564",529,959,620,959,TRUE
Railplan,"5,542",GLA,"2,011",26,"1,099",368,670,432,670,TRUE
Railplan,"5,543",GLA,"2,011",666,414,139,252,163,252,TRUE
Railplan,"5,544",GLA,"2,011",314,"1,037",395,683,448,683,TRUE
Railplan,"5,545",GLA,"2,011",83,"1,428",534,931,609,931,TRUE
Railplan,"5,546",GLA,"2,011",397,"3,401","1,294","2,241","1,468","2,241",TRUE
Railplan,"5,547",GLA,"2,011",579,"2,508",954,"1,652","1,083","1,652",TRUE
Railplan,"5,548",GLA,"2,011",141,"2,205",826,"1,439",941,"1,439",TRUE
Railplan,"5,549",GLA,"2,011","1,360","1,186",407,733,475,733,TRUE
Railplan,"5,550",GLA,"2,011",512,6,2,4,2,4,TRUE
Railplan,"5,551",GLA,"2,011","2,343",865,312,583,366,583,TRUE
Railplan,"5,552",GLA,"2,011",349,"1,945",701,"1,311",822,"1,311",TRUE
Railplan,"5,553",GLA,"2,011","1,367","1,542",556,"1,039",652,"1,039",TRUE
Railplan,"5,554",GLA,"2,011","1,883","1,118",411,752,445,752,TRUE
Railplan,"5,555",GLA,"2,011",414,"2,284",836,"1,538",921,"1,538",TRUE
Railplan,"5,556",GLA,"2,011",386,"2,696",972,"1,823","1,151","1,823",TRUE
Railplan,"5,557",GLA,"2,011","2,437",720,259,492,319,492,TRUE
Railplan,"5,558",GLA,"2,011","1,090","2,238",762,"1,324",966,"1,324",TRUE
Railplan,"5,559",GLA,"2,011",285,343,117,211,167,211,TRUE
Railplan,"5,560",GLA,"2,011","1,063","1,800",672,"1,117",763,"1,117",TRUE
Railplan,"5,561",GLA,"2,011",408,644,241,400,273,400,TRUE
Railplan,"5,562",GLA,"2,011",379,"1,450",525,818,596,818,TRUE
Railplan,"5,563",GLA,"2,011","1,298","2,605","1,026","1,594","1,144","1,594",TRUE
Railplan,"5,564",GLA,"2,011","1,066","2,964","1,120","1,890","1,279","1,890",TRUE
Railplan,"5,565",GLA,"2,011","1,938","1,582",584,993,653,993,TRUE
Railplan,"5,566",GLA,"2,011","2,156","2,636",959,"1,743","1,136","1,743",TRUE
Railplan,"5,567",GLA,"2,011","2,474","3,084","1,111","2,108","1,367","2,108",TRUE
Railplan,"5,568",GLA,"2,011",841,"4,258","1,587","2,732","1,800","2,733",TRUE
